Epoch,loss,accuracy,val_loss,val_accuracy
1,5.133469105,0.11135491,4.770311832,0.116228074
2,4.770060062,0.115469009,4.639790535,0.116228074
3,4.693860054,0.11601755,4.652276516,0.116228074
4,4.611440659,0.118760288,4.515825272,0.126096487
5,4.512999058,0.133022487,4.484749794,0.13048245
6,4.409181595,0.140427873,4.247208118,0.150219291
7,4.273682117,0.155238613,4.129855633,0.199561402
8,4.076003551,0.202139333,3.910090446,0.241228074
9,3.864065409,0.234777838,3.741889238,0.268640339
10,3.64381814,0.280307174,3.593402147,0.313596487
11,3.436305046,0.321722448,3.39056921,0.362938583
12,3.241996527,0.361766309,3.262250662,0.402412295
13,3.109401464,0.39138782,3.189338207,0.435307026
14,2.888557196,0.433625877,3.073184252,0.427631587
15,2.795070171,0.453647822,3.047331333,0.435307026
16,2.703536987,0.466264397,3.05321455,0.479166657
17,2.617058516,0.494240254,3.03397131,0.471491218
18,2.534024715,0.506582558,3.009909391,0.487938583
19,2.505157709,0.525781691,3.087380171,0.480263144
20,2.457703352,0.540318131,3.007191181,0.502192974
21,2.369860649,0.562260032,2.99469471,0.502192974
22,2.309592009,0.578716397,3.017546892,0.509868443
23,2.330296516,0.565551281,3.131949186,0.484649122
24,2.303703547,0.582556248,2.990735054,0.503289461
25,2.204062939,0.609435022,3.043843031,0.504385948
26,2.212909937,0.608063638,3.048196793,0.504385948
27,2.160249949,0.62671423,2.964638472,0.523026288
28,2.097601414,0.628908396,2.963470221,0.533991218
29,2.137061357,0.621502995,3.048916578,0.512061417
30,2.08853507,0.641799212,2.979887247,0.529605269
31,2.091794014,0.640427887,3.038961411,0.515350878
32,2.000614643,0.665935278,2.977880001,0.517543852
33,2.048078299,0.656884253,3.051560879,0.530701756
34,2.078673124,0.651398778,3.091729403,0.537280679
35,2.025544405,0.661546886,2.972323179,0.535087705
36,2.009937525,0.664563894,3.136425734,0.527412295
37,1.974592209,0.685134411,3.003119707,0.535087705
38,1.978996277,0.681568861,3.020625114,0.520833313
39,1.935689449,0.683488727,2.949106693,0.553728044
40,1.927360654,0.694733977,2.95283103,0.543859661
41,1.973409295,0.678826094,3.083483934,0.520833313
42,1.930673838,0.697750986,3.206851006,0.533991218
43,1.910599351,0.69939661,3.066341639,0.529605269
44,1.903976321,0.69555676,3.028994799,0.547149122
45,1.894765735,0.701590776,3.106975555,0.540570199
46,1.882160306,0.700219393,2.983105898,0.570175409
47,1.870161057,0.704059243,3.067839146,0.528508782
48,1.848218203,0.703236401,3.09481883,0.540570199
49,1.867901444,0.708173335,2.917178392,0.558114052
50,1.857221961,0.704059243,2.925973654,0.578947365
51,1.845714927,0.709544718,3.151464939,0.557017565
52,1.829451799,0.712835968,3.00088048,0.570175409
53,1.884716153,0.710367501,2.975098372,0.572368443
54,1.772375584,0.730663717,3.111945391,0.558114052
55,1.797431946,0.726549625,3.071700573,0.546052635
56,1.78591907,0.735874951,3.06623745,0.546052635
57,1.762613058,0.740263283,3.003629208,0.565789461
58,1.764944792,0.731212258,2.992374897,0.553728044
59,1.733149171,0.741634667,2.890985012,0.574561417
60,1.777025342,0.725178301,2.889794827,0.575657904
61,1.795574427,0.723258376,3.013623714,0.554824591
62,1.7753582,0.738069117,3.018445969,0.560307026
63,1.757691741,0.735326409,3.034949541,0.548245609
64,1.737363696,0.743828833,3.048336029,0.582236826
65,1.781179428,0.725452542,3.146767378,0.538377166
66,1.723278642,0.745748758,2.916800261,0.5625
67,1.722210646,0.739989042,2.982297897,0.559210539
68,1.74706924,0.736423492,2.911525249,0.572368443
69,1.716963887,0.740263283,2.974918842,0.560307026
70,1.77310884,0.740263283,2.922314405,0.569078922
71,1.725133181,0.744651675,2.998604774,0.565789461
72,1.719173431,0.738343418,3.042835712,0.582236826
73,1.699506044,0.7537027,2.941185951,0.582236826
74,1.697650194,0.746845841,2.96079874,0.586622834
75,1.677028298,0.762205184,2.978499651,0.578947365
76,1.697571516,0.7537027,2.943178177,0.567982435
77,1.704733133,0.744925976,2.890296221,0.572368443
78,1.703484058,0.75013715,3.04820776,0.555921078
79,1.650444508,0.760285258,3.140384436,0.566885948
80,1.693183303,0.756719708,2.958278179,0.552631557
81,1.692872882,0.752605617,3.108808517,0.567982435
82,1.651266098,0.756171167,2.911193132,0.587719321
83,1.630890608,0.763302267,2.984455824,0.578947365
84,1.656605721,0.759462416,2.942263126,0.591008782
85,1.660310507,0.754525483,2.996043444,0.589912295
86,1.648984671,0.757816792,3.074316025,0.559210539
87,1.640138268,0.760285258,3.120584249,0.580043852
88,1.65573585,0.759736717,3.004190207,0.591008782
89,1.623675227,0.773176074,2.979031563,0.567982435
90,1.627339363,0.768239141,2.934611797,0.572368443
91,1.65676868,0.759736717,3.112430573,0.595394731
92,1.67002821,0.75726825,2.944787264,0.57346493
93,1.652397394,0.760010958,2.919070482,0.580043852
94,1.65024066,0.763576508,2.963882446,0.600877166
95,1.653725266,0.767142057,2.974040985,0.575657904
96,1.588450432,0.779484391,2.927266121,0.577850878
97,1.618200064,0.763302267,2.978070498,0.605263174
98,1.631531358,0.763850808,2.914873123,0.588815808
99,1.622742653,0.764125049,3.007455826,0.569078922
100,1.559584618,0.785518348,3.012254953,0.592105269
101,1.564500451,0.779484391,2.977388859,0.585526288
102,1.57663548,0.777290165,3.065281153,0.594298244
103,1.576849103,0.781130016,2.9893682,0.576754391
104,1.561010957,0.783872724,3.030129671,0.587719321
105,1.547582626,0.780855715,3.117128134,0.581140339
106,1.57881391,0.776467383,3.078542233,0.586622834
107,1.598911285,0.769884825,2.991338015,0.609649122
108,1.604185104,0.773998916,2.898872137,0.599780679
109,1.55721724,0.789358199,2.995832205,0.592105269
110,1.57312727,0.783049941,3.033685684,0.611842096
111,1.582891464,0.773450375,3.058140993,0.597587705
112,1.585018516,0.776467383,2.938718319,0.599780679
113,1.571023226,0.777015924,2.921664238,0.597587705
114,1.561480284,0.779484391,2.897288561,0.61403507
115,1.562361717,0.784421265,2.916715622,0.581140339
116,1.568894744,0.789083898,2.97908926,0.588815808
117,1.545543194,0.790455282,2.949678898,0.597587705
118,1.602888346,0.779210091,2.909668684,0.616228044
119,1.524284482,0.799780607,2.905091047,0.616228044
120,1.557899952,0.787986815,2.904183149,0.596491218
121,1.512795448,0.790729582,2.964351177,0.601973712
122,1.505976796,0.799780607,2.943487883,0.629385948
123,1.517756939,0.794295132,2.975447178,0.592105269
124,1.56493628,0.784421265,2.950439215,0.592105269
125,1.537457943,0.788809657,2.96817112,0.596491218
126,1.541178346,0.791278124,2.949022055,0.601973712
127,1.487451434,0.796215057,3.034449816,0.593201756
128,1.515244126,0.792100906,2.953256369,0.577850878
129,1.509558082,0.79703784,3.007880688,0.606359661
130,1.564710617,0.791003823,2.991567612,0.571271956
131,1.526387095,0.795117915,3.047929764,0.585526288
132,1.499933839,0.799506307,2.978441954,0.585526288
133,1.482642055,0.798409224,2.976360559,0.589912295
134,1.483217478,0.803894699,2.884248257,0.618421078
